HOMBRE ,MUJER,UNIDAD ACADEMICA ,NIVEL,IDIOMA,POBLACION,COMPETENCIA
5,9,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,SEÑAS MEXICANAS,Población IPN,BASICO
4,10,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,SEÑAS MEXICANAS,Población IPN,BASICO
0,6,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,SEÑAS MEXICANAS,Población IPN,BASICO
4,11,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,SEÑAS MEXICANAS,Población General,BASICO
6,13,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,PORTUGUÉS,Población IPN,INTERMEDIO
13,20,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,PORTUGUÉS,Población IPN,INTERMEDIO
0,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,PORTUGUÉS,Población IPN,INTERMEDIO
12,11,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,PORTUGUÉS,Población General,INTERMEDIO
1,3,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,PORTUGUÉS,Población IPN,AVANZADO
4,9,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,PORTUGUÉS,Población IPN,AVANZADO
3,4,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,PORTUGUÉS,Población General,AVANZADO
1,7,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,COREANO,Población IPN,BASICO
5,28,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,COREANO,Población IPN,BASICO
11,23,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,COREANO,Población IPN,BASICO
5,59,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,COREANO,Población General,BASICO
15,13,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",SUPERIOR,INGLÉS,Población IPN,BASICO
142,101,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",MEDIO SUPERIOR,INGLÉS,Población IPN,BASICO
3,8,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",SUPERIOR,INGLÉS,Población IPN,BASICO
2,3,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",EMPLEADOS,INGLÉS,Población IPN,BASICO
57,82,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",No aplica,INGLÉS,Población General,BASICO
38,23,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",MEDIO SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
1,0,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",EMPLEADOS,INGLÉS,Población IPN,INTERMEDIO
34,31,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",No aplica,INGLÉS,Población General,INTERMEDIO
17,9,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",MEDIO SUPERIOR,INGLÉS,Población IPN,AVANZADO
10,13,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",SUPERIOR,INGLÉS,Población IPN,AVANZADO
20,24,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 1 ""GONZALO VÁZQUEZ VELA""",No aplica,INGLÉS,Población General,AVANZADO
284,174,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",MEDIO SUPERIOR,INGLÉS,Población IPN,BASICO
15,13,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",SUPERIOR,INGLÉS,Población IPN,BASICO
